employee_id,employee_number,first_name,last_name,email,phone,gender,date_of_birth,job_id,department,grade_code,manager_id,location_city,location_country,employment_status,employment_type,hire_date,termination_date,current_salary,currency
EMP0001,E100001,Amelia,Walker,amelia.walker1@corp.example.com,+1-442-981-7843,prefer_not_to_say,1994-04-05,JOB0001,Supply Chain,G09,,Denver,US,retired,intern,2018-10-26,,163673.04,USD
EMP0002,E100002,Scarlett,Costa,scarlett.costa2@corp.example.com,+1-907-383-6115,male,1969-09-09,JOB0002,Sales,G01,,Dallas,US,on_leave,intern,2018-09-27,,56077.35,USD
EMP0003,E100003,Nora,Sanchez,nora.sanchez3@corp.example.com,+1-594-819-7607,prefer_not_to_say,1997-05-07,JOB0003,Legal,G01,,Chicago,US,active,full_time,2024-02-27,,61442.93,USD
EMP0004,E100004,Alexander,Walker,alexander.walker4@corp.example.com,+1-356-673-8739,male,1993-09-23,JOB0004,Sales,G08,,Hyderabad,IN,active,full_time,2022-12-05,,45273.09,INR
EMP0005,E100005,Lily,Miller,lily.miller5@corp.example.com,+1-816-715-6645,non_binary,1994-11-14,JOB0005,Data,G02,,Bengaluru,IN,active,part_time,2024-09-07,,21013.79,INR
EMP0006,E100006,Oliver,Murphy,oliver.murphy6@corp.example.com,+1-280-659-4469,non_binary,2001-03-12,JOB0006,Security,G02,,Bengaluru,IN,active,full_time,2023-01-27,,21453.50,INR
EMP0007,E100007,Priya,Rodriguez,priya.rodriguez7@corp.example.com,+1-752-878-9903,non_binary,1995-01-08,JOB0007,Operations,G12,,Hyderabad,IN,on_leave,intern,2023-02-23,,61667.97,INR
EMP0008,E100008,Michael,Walker,michael.walker8@corp.example.com,+1-657-319-1204,prefer_not_to_say,1982-10-07,JOB0008,Sales,G02,,Toronto,CA,terminated,part_time,2024-11-13,2026-04-04,61427.04,USD
EMP0009,E100009,Abigail,Ali,abigail.ali9@corp.example.com,+1-919-726-9616,prefer_not_to_say,1986-05-26,JOB0009,Security,G11,,Toronto,CA,active,full_time,2017-10-02,,165646.51,USD
EMP0010,E100010,Sofia,Murphy,sofia.murphy10@corp.example.com,+1-936-782-9831,prefer_not_to_say,1981-03-09,JOB0010,HR,G08,,Austin,US,active,part_time,2023-06-16,,148761.22,USD
EMP0011,E100011,Daniel,Walker,daniel.walker11@corp.example.com,+1-549-241-5572,prefer_not_to_say,1990-04-29,JOB0011,Data,G05,EMP0447,Austin,US,active,intern,2021-09-09,,109202.08,USD
EMP0012,E100012,Logan,Smith,logan.smith12@corp.example.com,+1-488-528-7186,non_binary,1980-06-04,JOB0012,Supply Chain,G03,EMP0113,New York,US,terminated,part_time,2016-12-13,2025-05-04,85394.79,USD
