customer_id,first_name,last_name,email,phone,address_line,city,state,zip,preferred_store_id,preferred_channel,marketing_opt_in,created_at
CUS0001,Lucas,Lewis,lucas.lewis1@icloud.com,(734) 742-6941,3355 Cedar Ln,San Antonio,TX,78205,STR0744,phone,true,2026-07-25 08:07:30
CUS0002,Jack,Wilson,jack.wilson2@gmail.com,(426) 817-8484,9958 Lakeview Blvd,Miami,FL,33101,STR0936,delivery_partner,true,2026-06-08 03:53:55
CUS0003,Matthew,Wilson,matthew.wilson3@gmail.com,(443) 368-2549,9739 River Rd,Dallas,TX,75201,STR0384,delivery_partner,true,2025-08-01 16:08:35
CUS0004,Grace,Thompson,grace.thompson4@gmail.com,(897) 901-1489,2103 Elm St,Nashville,TN,37203,STR0012,mobile_app,true,2025-07-17 22:21:29
CUS0005,Levi,King,levi.king5@icloud.com,(861) 668-4656,4886 Lakeview Blvd,Seattle,WA,98101,STR0428,mobile_app,false,2024-02-27 12:52:52
CUS0006,Henry,Torres,henry.torres6@icloud.com,(452) 345-6871,1468 Highland Ave,Atlanta,GA,30303,STR0001,phone,true,2026-04-06 14:22:54
CUS0007,Mason,Martin,mason.martin7@icloud.com,(372) 356-2690,5338 Elm St,Houston,TX,77002,STR0580,mobile_app,false,2025-12-30 23:47:17
CUS0008,Matthew,Lewis,matthew.lewis8@example.com,(892) 624-4733,9784 Park Ave,Denver,CO,80202,STR0264,delivery_partner,false,2024-11-16 04:26:32
CUS0009,Nora,Jackson,nora.jackson9@example.com,(776) 556-6249,4695 Market St,Austin,TX,78701,STR0371,mobile_app,true,2024-11-08 16:09:26
CUS0010,Samuel,White,samuel.white10@icloud.com,(259) 725-9037,3568 Main St,San Antonio,TX,78205,STR0055,phone,true,2024-04-26 01:03:17
CUS0011,Oliver,Johnson,oliver.johnson11@icloud.com,(408) 589-7161,3638 Sunset Blvd,Miami,FL,33101,STR0761,phone,true,2024-08-15 20:50:52
CUS0012,Scarlett,Robinson,scarlett.robinson12@yahoo.com,(947) 409-5670,8283 Lakeview Blvd,San Antonio,TX,78205,STR0275,delivery_partner,false,2024-10-16 02:23:20
CUS0013,Emma,Ramirez,emma.ramirez13@gmail.com,(298) 794-3029,556 Park Ave,Miami,FL,33101,STR0011,web,true,2025-08-31 09:49:41
CUS0014,Jacob,Sanchez,jacob.sanchez14@icloud.com,(412) 963-3527,6782 Cedar Ln,Tampa,FL,33602,STR0312,mobile_app,true,2024-02-05 21:58:24
CUS0015,Jack,Torres,jack.torres15@icloud.com,(726) 565-6948,4587 Oak Ave,Miami,FL,33101,STR0496,mobile_app,true,2024-11-03 10:52:31
CUS0016,Owen,Johnson,owen.johnson16@icloud.com,(299) 624-5794,6002 Sunset Blvd,Atlanta,GA,30303,STR0973,delivery_partner,false,2024-11-03 15:32:40
CUS0017,Abigail,Thompson,abigail.thompson17@yahoo.com,(932) 478-7856,7142 Park Ave,Nashville,TN,37203,STR0856,web,false,2026-02-01 19:55:52
CUS0018,Jackson,Wilson,jackson.wilson18@example.com,(651) 986-9996,943 Highland Ave,Tampa,FL,33602,STR0790,web,false,2024-12-29 13:02:28
CUS0019,Riley,Johnson,riley.johnson19@icloud.com,(647) 553-2439,9072 Maple Dr,Miami,FL,33101,STR0454,delivery_partner,true,2025-05-30 16:43:26
CUS0020,Henry,Lewis,henry.lewis20@example.com,(741) 971-9843,8242 Maple Dr,Portland,OR,97201,STR0456,web,false,2024-05-21 00:43:39
CUS0021,Evelyn,Thompson,evelyn.thompson21@icloud.com,(720) 526-4511,8257 Main St,Austin,TX,78701,STR0405,phone,true,2026-07-31 01:53:56
CUS0022,Noah,Martinez,noah.martinez22@example.com,(784) 860-7388,4604 Market St,San Antonio,TX,78205,STR0822,delivery_partner,true,2024-03-11 08:39:35
CUS0023,Mia,Taylor,mia.taylor23@outlook.com,(993) 437-6870,4124 River Rd,Columbus,OH,43215,STR0416,delivery_partner,false,2024-12-11 15:37:19
CUS0024,Elijah,Lopez,elijah.lopez24@outlook.com,(598) 232-4852,8274 Lakeview Blvd,Charlotte,NC,28202,STR0066,in_store,true,2024-06-07 23:25:10
