delivery_id,order_id,driver_employee_id,delivery_address,city,state,zip,status,dispatched_at,delivered_at,distance_miles,tip_amount
DEL0001,ORD0001,EMP0221,5958 5th Ave,San Antonio,TX,78205,queued,2025-07-14 18:22:58,2025-07-14 19:34:58,3.7,7.14
DEL0002,ORD0002,EMP0515,5996 Maple Dr,Austin,TX,78701,returned,2025-11-21 11:48:05,2025-11-21 12:25:05,1.0,10.19
DEL0003,ORD0003,EMP0486,4435 Highland Ave,Dallas,TX,75201,returned,2026-06-16 15:54:36,2026-06-16 17:00:36,6.3,11.93
DEL0004,ORD0004,EMP0480,9587 Main St,Columbus,OH,43215,failed,2024-06-20 14:10:30,2024-06-20 15:29:30,6.4,7.42
DEL0005,ORD0005,EMP0001,7035 Cedar Ln,Austin,TX,78701,queued,2026-04-28 22:59:39,2026-04-28 23:36:39,2.2,10.58
DEL0006,ORD0006,EMP0579,3289 Main St,Houston,TX,77002,en_route,2025-05-03 06:05:54,2025-05-03 06:31:54,11.4,7.29
DEL0007,ORD0007,EMP0866,4728 Oak Ave,Seattle,WA,98101,delivered,2024-10-30 17:32:09,2024-10-30 18:08:09,7.5,3.65
DEL0008,ORD0008,EMP0146,5891 Highland Ave,Dallas,TX,75201,queued,2025-11-13 17:51:01,2025-11-13 18:53:01,2.5,0.26
DEL0009,ORD0009,EMP0206,2023 River Rd,Portland,OR,97201,queued,2025-02-12 04:17:01,2025-02-12 05:26:01,9.0,10.57
DEL0010,ORD0010,EMP0911,565 Cedar Ln,Denver,CO,80202,queued,2026-06-28 03:25:13,2026-06-28 03:58:13,6.9,4.25
DEL0011,ORD0011,EMP0213,8241 5th Ave,Portland,OR,97201,assigned,2025-01-03 08:02:21,2025-01-03 08:53:21,6.3,7.80
DEL0012,ORD0012,EMP0793,5054 Sunset Blvd,Houston,TX,77002,failed,2025-08-14 15:04:30,2025-08-14 15:21:30,1.4,11.90
DEL0013,ORD0013,EMP0820,2057 Park Ave,Chicago,IL,60601,queued,2025-06-27 08:01:51,2025-06-27 08:55:51,9.9,3.54
DEL0014,ORD0014,EMP0265,4599 Maple Dr,Charlotte,NC,28202,returned,2024-06-18 22:22:49,2024-06-18 22:53:49,1.9,2.12
DEL0015,ORD0015,EMP0269,1997 Market St,Charlotte,NC,28202,returned,2026-03-15 13:31:30,2026-03-15 14:54:30,2.6,1.19
DEL0016,ORD0016,EMP0801,7545 Elm St,Seattle,WA,98101,failed,2026-02-26 15:55:53,2026-02-26 17:21:53,0.9,3.83
DEL0017,ORD0017,EMP0805,8746 Market St,Miami,FL,33101,delivered,2024-06-07 23:46:42,2024-06-08 01:15:42,2.6,6.78
DEL0018,ORD0018,EMP0161,8110 Main St,Phoenix,AZ,85004,en_route,2025-07-12 05:47:28,2025-07-12 07:13:28,8.5,3.57
DEL0019,ORD0019,EMP0487,688 5th Ave,Charlotte,NC,28202,returned,2025-12-26 18:59:34,2025-12-26 19:16:34,6.0,1.87
DEL0020,ORD0020,EMP0482,4648 Pine Rd,Charlotte,NC,28202,delivered,2026-03-19 20:10:57,2026-03-19 21:40:57,8.5,4.36
DEL0021,ORD0021,EMP0058,4771 Sunset Blvd,Dallas,TX,75201,en_route,2024-09-21 06:29:12,2024-09-21 07:12:12,1.0,3.22
