supplier_id,supplier_name,category,contact_name,email,phone,city,state,zip,payment_terms_days,is_preferred
SUP0001,Harvest Flour Mills 1,dry_goods,David Sanchez,orders1@supplier1.example.com,(491) 862-3525,San Antonio,TX,78205,15,false
SUP0002,Urban Beverage Dist 2,beverages,Henry Hill,orders2@supplier2.example.com,(334) 567-2574,Nashville,TN,37203,45,false
SUP0003,Artisan Cheese Works 3,dry_goods,Zoey Moore,orders3@supplier3.example.com,(776) 814-7931,Portland,OR,97201,15,true
SUP0004,FireOven Packaging 4,packaging,Mason Ramirez,orders4@supplier4.example.com,(845) 636-2522,Nashville,TN,37203,15,false
SUP0005,Coastal Seafoods 5,beverages,Matthew Martinez,orders5@supplier5.example.com,(707) 739-9596,Portland,OR,97201,15,false
SUP0006,Roma Tomato Co 6,equipment,Zoey Martin,orders6@supplier6.example.com,(352) 330-5921,Seattle,WA,98101,30,false
SUP0007,Valley Farms Dairy 7,packaging,Emma Williams,orders7@supplier7.example.com,(725) 310-9366,Denver,CO,80202,60,false
SUP0008,GreenLeaf Produce 8,meat,Evelyn Nguyen,orders8@supplier8.example.com,(283) 987-9248,Portland,OR,97201,15,false
SUP0009,Artisan Cheese Works 9,produce,Mason Sanchez,orders9@supplier9.example.com,(246) 285-7819,Miami,FL,33101,45,false
SUP0010,Artisan Cheese Works 10,equipment,Aurora Lewis,orders10@supplier10.example.com,(838) 471-6592,Tampa,FL,33602,30,false
SUP0011,GreenLeaf Produce 11,equipment,Matthew Miller,orders11@supplier11.example.com,(644) 747-1293,Dallas,TX,75201,15,false
SUP0012,Harvest Flour Mills 12,beverages,Zoey Robinson,orders12@supplier12.example.com,(908) 614-8974,Austin,TX,78701,45,false
SUP0013,FireOven Packaging 13,beverages,Matthew Sanchez,orders13@supplier13.example.com,(509) 289-3049,Atlanta,GA,30303,30,false
SUP0014,Valley Farms Dairy 14,beverages,Amelia Johnson,orders14@supplier14.example.com,(414) 692-3378,Dallas,TX,75201,30,false
SUP0015,Coastal Seafoods 15,dairy,Henry Robinson,orders15@supplier15.example.com,(351) 685-7912,Miami,FL,33101,15,false
SUP0016,Harvest Flour Mills 16,beverages,Penelope Lewis,orders16@supplier16.example.com,(696) 682-1321,Columbus,OH,43215,60,false
SUP0017,GreenLeaf Produce 17,packaging,Daniel Brown,orders17@supplier17.example.com,(541) 208-2682,San Antonio,TX,78205,60,true
