contact_id,customer_id,contact_type,contact_value,is_primary,verified_flag
CTC61E01DE10F,CUST100065268,Email,jacqueline94@example.net,True,True
CTC9524C8A38D,CUST100005672,Mailing Address,"1033 Duffy Squares Suite 451, East Dustinshire, HI 96380",False,True
CTC2561D59CE1,CUST100096458,Email,shawcynthia@example.net,True,True
CTC7976C56554,CUST100054174,Email,vrodriguez@example.org,True,True
CTC3B0A57D651,CUST100042023,Mailing Address,"Unit 1758 Box 3407, DPO AP 10601",False,True
CTC8B58E8ACA4,CUST100090054,Email,bhughes@example.com,False,True
CTC96F499B22C,CUST100026314,Mailing Address,"90506 Kelley Islands, Frychester, AS 59822",False,True
CTC74CD68961A,CUST100019013,Mobile Phone,+1-589-555-9408,False,True
CTC3D21855BB8,CUST100051343,Mobile Phone,+1-417-564-1371,False,True
CTC9B08C95A5D,CUST100055266,Home Phone,+1-761-453-5158,False,True
CTC100CB9BEBB,CUST100039264,Mobile Phone,+1-475-282-6009,False,True
CTCD86611A046,CUST100094291,Mailing Address,"PSC 0184, Box 5576, APO AP 44175",True,True
CTC8CA72DE6C6,CUST100081392,Email,juan67@example.com,False,True
CTC87AC94FA4E,CUST100099183,Mobile Phone,+1-676-045-3736,False,True
CTC2021749CA7,CUST100018132,Email,carpenteradriana@example.org,False,True
CTC59D1948739,CUST100013310,Email,michelle60@example.net,False,True
CTC34A729AC7D,CUST100068474,Mobile Phone,+1-610-833-7790,False,True
CTCEDA38BCD92,CUST100090106,Mobile Phone,+1-619-715-4910,False,True
CTC108349EAC9,CUST100076001,Mailing Address,"691 Jessica Centers Suite 382, Villaton, PA 71610",True,True
CTC2B61729969,CUST100001815,Home Phone,+1-943-379-8395,False,True
CTC1F77EAB67E,CUST100057077,Mobile Phone,+1-001-126-8836,True,True
CTC5837432722,CUST100069269,Home Phone,+1-239-006-0373,False,True
CTC59EAABF704,CUST100098565,Mobile Phone,+1-428-361-5898,False,True
CTC55BF398E36,CUST100054255,Mobile Phone,+1-544-702-5510,False,True
CTC512D5EB1D9,CUST100075268,Email,calebgray@example.net,False,True
CTCC341EAF8F8,CUST100046944,Mailing Address,"85855 Joshua Village Apt. 993, Lake Lisaland, OH 88662",False,True
CTC8AC90C4174,CUST100029922,Email,christybean@example.net,True,True
CTC69C9E84C1B,CUST100030940,Email,thomasjason@example.net,False,True
CTCDDDE591D7B,CUST100015094,Mobile Phone,+1-800-481-0511,False,False
CTC6BA6FE156C,CUST100045401,Home Phone,+1-562-488-2440,False,False
CTCFA601DD534,CUST100032956,Email,dhawkins@example.com,True,True
CTCF6074E851C,CUST100012556,Mobile Phone,+1-737-034-3379,False,True
CTC5EE2F4ECF5,CUST100095717,Mobile Phone,+1-106-359-1219,False,True
CTCE8F0BCFDE3,CUST100098273,Mobile Phone,+1-077-677-4899,False,True
CTC19016F0345,CUST100038343,Email,michellerobinson@example.org,True,True
CTC254E263B13,CUST100048955,Email,zperez@example.com,False,True
CTCD99231F4FE,CUST100049852,Mobile Phone,+1-811-687-7049,True,True
