household_id,primary_customer_id,household_size,address_line,city,state,zip_code,household_income_band
HHB861ED5409,CUST100012756,2,613 Misty Land Apt. 703,Port Joshuaburgh,NM,21757,$60K-$100K
HH2EA8327ACF,CUST100032508,4,563 Bob Spurs,Elizabethborough,NE,84507,<$30K
HHC2B4A59B3F,CUST100046176,5,0234 Greer Expressway Suite 141,Suzanneview,NY,34558,$150K+
HH1FFA7817AC,CUST100091885,1,22679 Roberts Trail,Port Matthewville,AL,26921,$100K-$150K
HHBE9131443E,CUST100000364,1,962 Kevin Crossing Suite 777,West Natalie,MN,43335,$60K-$100K
HHA38FEF5BB8,CUST100098972,5,368 Patricia Parkway,Brittanyburgh,AZ,46573,$150K+
HH0B467DAAEE,CUST100090518,2,138 Julian Stream,Pattonville,VT,19912,$150K+
HH6885C00748,CUST100069306,3,58999 Latoya Drives Suite 844,Staceyburgh,MN,32996,$100K-$150K
HH2830F2E864,CUST100026387,5,0486 Maria Manors,Richardberg,WV,28303,$60K-$100K
HH5F26655088,CUST100076168,5,7848 Butler Corners,Markborough,CT,21953,$30K-$60K
HHB9AB7AF10B,CUST100083158,3,685 Andrew Shore Apt. 123,Lake Amy,ID,98287,<$30K
HH415BA063C6,CUST100019081,5,40187 Wilson Trail Apt. 154,Victoriaberg,WY,13929,$30K-$60K
HH2763D609B7,CUST100019486,3,1149 Boyd Path Suite 602,Rossville,ND,95080,$100K-$150K
HH4FFDF1B678,CUST100099708,4,74186 Michael Expressway Suite 867,Lake Christianburgh,MT,02354,$150K+
HH594574069B,CUST100070142,1,8062 Potter Fields,Nelsonmouth,MI,25738,$60K-$100K
HH6E4BFCC7A2,CUST100052581,3,5455 Christopher Pine,Lopezport,GU,88473,$150K+
HH3780DBC444,CUST100005387,2,44069 Eric Crest Apt. 991,Joshuamouth,NH,09774,<$30K
HH8C38D0549A,CUST100051842,4,48264 King Parks,Thomasland,AZ,84099,$30K-$60K
HH301052C24B,CUST100013688,4,76403 West Pines,Port Tonyaborough,MO,42706,$30K-$60K
HHD394FB2777,CUST100025110,1,24953 Miller Falls Suite 726,Devinmouth,AZ,64696,$150K+
