sim_id,customer_id,sim_type,iccid,msisdn,activation_date,status
SIME49A949C86,CUST100077389,Physical SIM,8905054883596921553,+14727152146,2016-07-19,Suspended
SIMF2AB6BFD05,CUST100034705,Physical SIM,8934388687796328326,+14610370987,2020-06-08,Active
SIM5596E292B4,CUST100000144,eSIM,8995919557000303426,+18459159333,2025-12-24,Active
SIM77BFBE014D,CUST100008304,eSIM,8938421258972234592,+15994644144,2018-11-12,Active
SIMFDDC5ED1C2,CUST100048822,Physical SIM,8990486141916783256,+17438989162,2025-07-30,Active
SIM9C8F2EBBEA,CUST100068922,eSIM,8927382589837264719,+15478730563,2017-06-18,Active
SIM17B40408C9,CUST100070709,eSIM,8912441844616714066,+19780168133,2023-02-12,Active
SIM3079A26419,CUST100013320,Physical SIM,8945644208608712167,+13600742794,2021-04-17,Active
SIM763FB05D22,CUST100053231,Physical SIM,8992907353653598485,+19850052578,2015-08-16,Active
SIM731A7FA417,CUST100096579,eSIM,8981538822251192248,+10013151507,2016-07-25,Active
SIM7A138459A1,CUST100063040,Physical SIM,8925443493002817504,+18464437041,2018-03-31,Swapped
SIM445D2C8496,CUST100091348,Physical SIM,8961184240142241049,+17174403464,2024-04-10,Suspended
SIM2440780C61,CUST100021991,eSIM,8915093136209648661,+12365747868,2025-04-02,Active
SIMD509B79829,CUST100042286,Physical SIM,8921294878543660378,+19945205812,2020-06-09,Active
SIMCFA4FBADCE,CUST100069974,Physical SIM,8984693220446462468,+10727393107,2024-02-17,Active
SIM67D0A18669,CUST100021751,Physical SIM,8976326196046165305,+17892976768,2019-08-29,Active
SIM2156C13739,CUST100057922,eSIM,8991327479108081999,+16727067483,2023-01-06,Active
SIM5ED9E58CB0,CUST100034496,Physical SIM,8917405872179912781,+19601647609,2018-11-30,Active
SIM6FC4501E13,CUST100024784,Physical SIM,8941373137816855501,+10534421654,2019-02-12,Active
SIMC9B10D248A,CUST100010411,eSIM,8973069523987651642,+13387027701,2017-07-25,Active
SIMCA959200E4,CUST100072621,eSIM,8927786965688321940,+12401104863,2020-09-20,Active
