cdr_id,customer_id,call_type,origin_number,destination_number,call_start_ts,duration_sec,tower_id,cell_id
CDR1EC7019D2E05,CUST100023997,Voice Incoming,+12992225611,+14137336248,2026-06-08 16:31:46,3458,TWR108580,5349
CDR6428638EECB6,CUST100046434,SMS Outgoing,+11824339192,+11860876482,2026-07-07 13:00:13,830,TWR108995,2228
CDR32AF95AFDE84,CUST100056647,Voice Outgoing,+16403838778,+15638720224,2026-07-05 06:34:45,3454,TWR100347,1826
CDRCB2681EADCD0,CUST100000582,SMS Incoming,+13743886643,+12454032284,2026-07-03 11:32:37,2750,TWR104325,2982
CDRBB4F84BD73FF,CUST100019084,Voice Outgoing,+18053752061,+18341997626,2026-06-09 12:44:28,1873,TWR107963,8121
CDR7614259B2B63,CUST100074482,Voice Outgoing,+16892632943,+18331155040,2026-07-17 17:40:31,3407,TWR106384,6402
CDR6C3E632C2D07,CUST100055753,Voice Incoming,+17761969732,+13256465007,2026-06-01 09:23:38,1546,TWR109805,5537
CDR031C6FC30B24,CUST100097536,Voice Outgoing,+16848162022,+19906798865,2026-07-04 09:43:38,5,TWR109212,5915
CDR4EA53906B5D1,CUST100004539,Voice Outgoing,+10056470003,+14496804317,2026-07-02 14:45:20,2816,TWR104741,9912
CDR56A62ABFA83D,CUST100059792,Voice Outgoing,+14979447846,+18939827874,2026-06-03 22:13:38,1595,TWR102465,7752
CDRFCE9294F233D,CUST100070127,Voice Incoming,+13481942167,+14763504195,2026-06-15 06:29:25,3425,TWR103152,1007
CDR3031A6406968,CUST100048206,Voice Incoming,+19372086540,+18511052148,2026-06-20 01:38:46,430,TWR102064,7039
CDR9043EF4B4EED,CUST100073430,Voice Incoming,+13192219573,+18821749507,2026-06-23 16:09:45,820,TWR102806,9599
CDR8F7C8058417F,CUST100000998,Voice Incoming,+11150570404,+16931172599,2026-06-12 02:27:51,3540,TWR109090,9597
CDR1975770F0769,CUST100016646,SMS Outgoing,+16864076736,+15704420784,2026-06-05 23:43:35,347,TWR103974,4908
CDR2A2D7476E764,CUST100002997,SMS Outgoing,+14000049386,+10577433461,2026-06-16 00:50:32,3436,TWR100560,5785
CDR6DB615DA35A4,CUST100032867,Voice Incoming,+15187446218,+17067720306,2026-06-25 07:30:33,2447,TWR109274,4878
CDRE82BC88F6635,CUST100023209,Voice Outgoing,+12488049922,+18961810356,2026-06-05 01:08:47,1022,TWR108794,5609
CDRD8E024BCF302,CUST100073573,Voice Incoming,+12423118307,+14967278309,2026-07-16 11:13:44,2245,TWR101930,3571
CDRA25E6E2AE618,CUST100036595,SMS Incoming,+12515152428,+15705085196,2026-07-10 05:02:07,2112,TWR102699,9434
CDRE93E6C9D15B9,CUST100051993,Voice Outgoing,+18599637648,+15785781369,2026-07-13 07:07:58,2190,TWR105994,8848
CDRD20A95CBB954,CUST100013395,Data Session,+12624391747,+13089088137,2026-07-16 08:22:35,2568,TWR106483,9621
CDRC7D8DB4D9C78,CUST100093607,Voice Incoming,+15094501560,+11546059792,2026-06-12 04:23:54,531,TWR103347,1465
CDRA47E984C8278,CUST100046110,SMS Incoming,+13404774896,+13561474170,2026-06-14 18:04:46,3260,TWR105935,7782
