case_id,customer_id,case_type,assigned_agent,opened_date,closed_date,status
CSEEF43660492,CUST100028942,Contract Dispute,Brandon Maldonado,2026-07-16,,Closed
CSE6B75CAFCA6,CUST100051734,Escalated Complaint,Samuel Farley,2026-01-16,2026-01-27,Open
CSE1D43AA566F,CUST100097917,Contract Dispute,Emma Mcgrath,2026-05-02,2026-05-13,Pending Customer Response
CSE22310B3E7E,CUST100060869,Contract Dispute,Larry Lamb,2026-02-09,2026-03-09,Pending Customer Response
CSEED8E0D723E,CUST100090866,Fraud Investigation,James Klein,2026-05-14,2026-06-02,Closed
CSE118FA397F9,CUST100066944,Escalated Complaint,William Pearson,2026-02-11,2026-02-12,Closed
CSE636529D26D,CUST100039445,Contract Dispute,Michael Allison,2026-06-22,2026-08-04,Closed
CSE30DE444E0F,CUST100026201,Retention Save,Jill Cline MD,2026-03-05,2026-04-15,Pending Customer Response
CSE581DE0836C,CUST100076598,Warranty Claim,Amber James,2026-04-11,,Closed
CSEA0C90E67F9,CUST100017975,Warranty Claim,Patrick Brown,2026-02-09,2026-03-22,Closed
CSEF3097EAED5,CUST100038362,Fraud Investigation,Kyle Franklin,2026-01-02,,Closed
CSE5AE47D5587,CUST100056523,Warranty Claim,Scott Miller,2026-04-13,2026-05-01,Closed
CSEFD2E5DD523,CUST100028314,Warranty Claim,Jeffrey Fletcher,2026-01-06,,Closed
CSEE385F64344,CUST100024060,Escalated Complaint,Christina Turner,2026-04-21,,Pending Customer Response
CSEC6FB4BD321,CUST100021668,Warranty Claim,Jeffrey Davis,2026-04-27,,Closed
CSE1503A0B0CD,CUST100043184,Fraud Investigation,Brandon Knight,2026-02-02,,Closed
CSE8947FB8AFF,CUST100071123,Retention Save,Trevor Brown,2026-05-06,2026-05-25,Closed
CSE7D74F2EEAC,CUST100065643,Retention Save,Timothy Dougherty,2026-06-10,2026-07-17,Closed
CSE82514F59D1,CUST100032132,Fraud Investigation,Alexander Walker,2026-01-17,,Closed
CSEEE52E2D518,CUST100067930,Retention Save,Jonathan Dennis,2026-03-18,2026-03-28,Closed
CSE56D574E68D,CUST100080321,Fraud Investigation,Michael Mendez,2026-03-10,2026-03-23,Closed
CSEFD9B981968,CUST100029615,Warranty Claim,David Carey,2026-06-03,,Pending Customer Response
CSE751F2C91F3,CUST100076591,Escalated Complaint,Tiffany Knight,2026-06-02,2026-07-05,Closed
CSEB68DC721A6,CUST100024634,Warranty Claim,Christina Scott,2026-06-09,2026-07-23,Closed
CSEF867314E69,CUST100040965,Warranty Claim,Devon Clark,2026-03-01,2026-04-01,Open
CSEEED6EF22DC,CUST100038224,Retention Save,Joseph Lopez,2026-04-19,,Closed
CSE52BDCD290E,CUST100037725,Fraud Investigation,Mr. Dale Miller,2026-07-13,,Closed
CSE6C1D905395,CUST100024929,Contract Dispute,Sarah Kelley,2026-05-07,2026-05-20,Pending Customer Response
CSEC1CC4EE040,CUST100039905,Escalated Complaint,William Rowland,2026-04-07,2026-05-17,Open
CSE0D41C657AF,CUST100062960,Retention Save,Rachel Cochran,2026-03-15,2026-03-28,Closed
CSEECCC4BBAC9,CUST100096123,Fraud Investigation,Julie Moreno,2026-03-12,,Closed
CSE3B391B3FBA,CUST100021189,Retention Save,Patrick Coleman,2026-06-03,,Closed
CSEE56E252241,CUST100000551,Warranty Claim,James Mccormick,2026-06-02,2026-06-13,Open
CSEAFA6D38511,CUST100090668,Fraud Investigation,Peter Duran,2026-04-29,2026-06-08,Closed
CSE76D8B29FB1,CUST100019430,Contract Dispute,Frances Morgan,2026-01-19,2026-02-16,Closed
CSE0CA02656F9,CUST100090633,Retention Save,Kristi Mitchell,2026-04-25,,Closed
CSE1E81C2E341,CUST100019231,Warranty Claim,Charles Hensley,2026-02-02,2026-03-17,Closed
CSE5AFBEC91A1,CUST100003181,Warranty Claim,Jimmy Edwards,2026-06-01,2026-07-12,Closed
CSE4C3677DC44,CUST100098958,Warranty Claim,Austin Kerr,2026-04-04,2026-05-09,Open
CSECAE1B6F28F,CUST100032944,Contract Dispute,Mark Washington,2026-02-06,2026-02-25,Closed
CSE196269F69D,CUST100014757,Escalated Complaint,Elizabeth Cantu,2026-04-22,2026-05-14,Closed
CSE9476F54A38,CUST100093417,Fraud Investigation,Kelly Salazar,2026-05-22,2026-07-03,Closed
CSE85F95FC599,CUST100067102,Retention Save,Lucas Mclaughlin,2026-06-08,2026-06-11,Closed
CSE699B65CBA0,CUST100023811,Retention Save,Raymond Hatfield,2026-05-04,2026-06-16,Pending Customer Response
CSE11043B267F,CUST100040973,Retention Save,Deanna Brown,2026-07-03,,Closed
CSE2F2A524D93,CUST100081734,Escalated Complaint,Matthew Adams,2026-01-28,2026-02-13,Closed
CSE0F08B9744B,CUST100083368,Contract Dispute,Patricia Hernandez,2026-02-07,2026-02-08,Closed
CSE93FB405F08,CUST100075664,Warranty Claim,Adrian Salazar,2026-01-10,2026-01-30,Closed
CSEE8128FBA76,CUST100084527,Escalated Complaint,Charles Gray,2026-03-01,2026-03-22,Closed
CSE1502B2B356,CUST100092404,Retention Save,Ronald Sanchez,2026-05-27,2026-07-04,Closed
CSEC427968E9B,CUST100061330,Fraud Investigation,Ebony Baldwin,2026-02-21,2026-04-02,Open
CSE659F09C180,CUST100082266,Contract Dispute,Charles Fernandez,2026-02-09,2026-03-23,Closed
CSE063D4343FF,CUST100067125,Contract Dispute,Tammy West,2026-07-20,2026-09-01,Closed
CSED2BBBB8B36,CUST100008297,Fraud Investigation,Shannon Garner,2026-01-16,2026-02-08,Closed
CSE3272126BB4,CUST100062428,Escalated Complaint,Casey Stanley,2026-03-24,,Closed
CSEA8B443ED0D,CUST100035562,Escalated Complaint,Christopher Chambers,2026-03-25,2026-04-04,Closed
CSEA4A89CE71C,CUST100052451,Escalated Complaint,Luke Lee,2026-03-27,2026-04-06,Closed
CSE547EFE5493,CUST100039172,Warranty Claim,Ian Peters,2026-06-03,2026-07-17,Closed
CSE3AF009B6D3,CUST100062810,Fraud Investigation,Stacy West,2026-06-28,2026-07-14,Closed
CSE32A6FF1317,CUST100079935,Escalated Complaint,Dr. Brandon Graham,2026-02-13,2026-03-21,Pending Customer Response
CSE3F022D08E9,CUST100022686,Contract Dispute,Kyle Johnson,2026-06-03,,Closed
CSEF65D10CF2B,CUST100055918,Warranty Claim,Lauren Hughes,2026-03-29,,Closed
CSEF00AF33FE7,CUST100033546,Contract Dispute,Howard Rogers,2026-04-13,,Closed
CSE5348E09406,CUST100049308,Warranty Claim,Joshua Hull,2026-03-20,2026-04-21,Closed
CSE47F5366FE0,CUST100021142,Escalated Complaint,Thomas Solomon,2026-06-16,,Pending Customer Response
CSE944681DA9E,CUST100068024,Contract Dispute,Laurie Morales,2026-04-27,2026-06-10,Closed
CSE3F453E8EFF,CUST100041928,Retention Save,Dr. Ruth Adams,2026-01-02,,Closed
CSE40D70F7703,CUST100042662,Warranty Claim,John Barnes,2026-05-17,2026-06-29,Closed
CSEEEB6861120,CUST100097988,Contract Dispute,Kevin Walsh,2026-05-23,,Closed
CSE44E527C961,CUST100077348,Warranty Claim,Angela Horton,2026-07-21,2026-09-01,Closed
CSE4EC43A2117,CUST100052256,Contract Dispute,Laura Schultz,2026-07-02,2026-08-10,Pending Customer Response
CSE1175EE395E,CUST100045260,Escalated Complaint,Jenny Jones,2026-05-31,2026-06-02,Open
CSE7ADC2171D6,CUST100031919,Escalated Complaint,Sue Wood,2026-07-20,,Closed
CSEEAE4F08832,CUST100086904,Contract Dispute,Stephen Martinez,2026-04-19,2026-05-12,Closed
CSE5C2A03ED26,CUST100086957,Fraud Investigation,Luis Jackson,2026-02-10,2026-03-22,Pending Customer Response
CSE0CF1B60D1F,CUST100078789,Contract Dispute,William Walker,2026-07-12,2026-07-18,Open
CSEA89EE3524E,CUST100077311,Fraud Investigation,Jamie Jackson,2026-05-19,2026-05-25,Open
CSE2590B9F757,CUST100045229,Warranty Claim,Bobby Ingram,2026-06-13,2026-06-25,Closed
CSEC2965DBFB3,CUST100055359,Contract Dispute,Michael Combs,2026-04-28,,Closed
CSEBDC6FC8548,CUST100087100,Warranty Claim,Jennifer Clark,2026-03-22,,Open
CSE2B58113FF1,CUST100066640,Escalated Complaint,Mary Jones,2026-02-27,2026-03-15,Open
CSE29999F1B32,CUST100032723,Contract Dispute,Diane Kramer,2026-07-02,2026-08-14,Pending Customer Response
CSEF8F09B6024,CUST100001621,Warranty Claim,Dillon Rodriguez,2026-06-22,,Closed
CSE08085BC226,CUST100060118,Fraud Investigation,Jonathan Perez,2026-07-05,,Closed
CSEF8366F5073,CUST100050686,Fraud Investigation,Shawn Jones,2026-01-28,2026-02-10,Closed
CSE5AB747BD39,CUST100024325,Escalated Complaint,John Mclaughlin,2026-05-10,2026-06-18,Closed
CSEB06A1C91C1,CUST100066409,Warranty Claim,Jose Rose,2026-01-20,2026-01-28,Closed
CSE6B729400EF,CUST100016729,Fraud Investigation,Timothy Ramirez,2026-02-22,2026-03-18,Closed
CSEE29DEB9475,CUST100004153,Warranty Claim,Matthew Miller,2026-04-15,,Closed
CSEAF777E1B97,CUST100015983,Fraud Investigation,Dustin Peterson,2026-03-31,,Open
CSE5F8F1A8990,CUST100073224,Contract Dispute,Zachary Wilson,2026-01-01,2026-01-18,Closed
CSE146C219A44,CUST100019527,Retention Save,Daniel Garcia,2026-07-21,2026-07-27,Closed
CSE92D471DFE9,CUST100083610,Warranty Claim,Jennifer Hardy,2026-02-16,2026-03-27,Open
CSEA4396EF18C,CUST100032997,Contract Dispute,Randy Mccoy,2026-01-09,2026-01-12,Open
CSEBA3F13AF53,CUST100059031,Retention Save,Jessica Blackwell,2026-01-13,2026-01-16,Pending Customer Response
CSE202A4B65C1,CUST100063399,Escalated Complaint,Tonya Perez,2026-05-10,,Open
CSE8EFEAECD15,CUST100083985,Contract Dispute,Sonia Hernandez,2026-05-02,2026-05-13,Closed
CSEC9AC5EB4FE,CUST100011784,Contract Dispute,Glenda Chavez,2026-01-03,2026-01-11,Open
CSE0D16126504,CUST100094464,Warranty Claim,Joshua Avila,2026-03-10,2026-03-25,Closed
CSE01867CD53D,CUST100002899,Contract Dispute,Steven Johnson,2026-03-08,2026-04-17,Closed
CSE9FFF31AA71,CUST100066970,Escalated Complaint,Christine Brown,2026-04-15,,Open
CSEA572F81322,CUST100069308,Retention Save,Rachel Odonnell,2026-04-23,2026-04-24,Open
CSEF84E655789,CUST100040568,Escalated Complaint,Lisa Cole,2026-06-06,2026-07-18,Closed
CSEADDDE9C7F3,CUST100098212,Warranty Claim,Jamie Wells,2026-04-12,2026-05-21,Closed
CSEC60FF9BBA6,CUST100089785,Escalated Complaint,Frank Burke,2026-03-17,,Closed
CSE182D561BB8,CUST100067420,Escalated Complaint,James Martinez,2026-06-01,2026-07-03,Closed
CSEF151CDA5AD,CUST100093843,Fraud Investigation,Maria Kim,2026-06-21,2026-07-13,Closed
CSE5A2E7DA5BB,CUST100047210,Escalated Complaint,Stephanie Walker,2026-02-07,2026-02-10,Closed
CSE30BF195CD3,CUST100085737,Fraud Investigation,Justin Gonzalez,2026-07-05,2026-07-16,Closed
CSEFF892FF9FC,CUST100054623,Retention Save,Diana Schwartz,2026-04-16,2026-04-28,Closed
CSE27077C5454,CUST100056946,Contract Dispute,Peggy Ross,2026-06-01,2026-06-11,Closed
CSE49530D27B6,CUST100034148,Retention Save,Emma Lewis,2026-02-11,2026-02-19,Closed
CSE86D1B98C14,CUST100011791,Retention Save,Julie Mccoy,2026-07-18,,Closed
CSEB32952CD4F,CUST100097092,Retention Save,Patricia Nelson,2026-03-12,2026-03-13,Closed
CSE83360D98AD,CUST100026664,Retention Save,Karen Wright,2026-05-24,2026-06-09,Closed
CSE974F87B809,CUST100081440,Escalated Complaint,Heather Jenkins,2026-01-23,2026-02-24,Closed
CSE215CCA697F,CUST100024768,Contract Dispute,Bruce Jackson DDS,2026-07-08,,Open
CSE8C118C98A5,CUST100031880,Contract Dispute,Katherine Perry,2026-07-02,2026-08-01,Closed
CSE0F3C0FDE9A,CUST100077002,Warranty Claim,Mary Gonzalez,2026-04-02,2026-04-13,Closed
CSEF4021E5BA6,CUST100042654,Retention Save,Daniel Flores,2026-01-30,2026-02-21,Closed
CSEA056F9D08A,CUST100081075,Escalated Complaint,Teresa Simmons,2026-02-15,,Closed
CSE9F62D10BB8,CUST100038726,Warranty Claim,Brian Patterson,2026-01-25,,Pending Customer Response
CSE3F1308C01B,CUST100005360,Contract Dispute,Michele Thomas,2026-02-10,2026-03-08,Closed
CSE6F6135CDE1,CUST100023200,Fraud Investigation,Lauren Wall,2026-03-30,2026-04-09,Closed
CSE277F77199E,CUST100023927,Fraud Investigation,Katie Griffith,2026-04-10,,Pending Customer Response
CSE2A9BBB8A06,CUST100009031,Escalated Complaint,David Brooks,2026-03-30,2026-03-31,Open
CSEA3BC1EF66B,CUST100064175,Warranty Claim,Kelly Gomez DVM,2026-05-22,2026-07-04,Closed
CSEF94540B2C5,CUST100021393,Retention Save,John Scott,2026-07-02,2026-08-13,Closed
CSE6F5D514868,CUST100026682,Fraud Investigation,Dawn Burns,2026-01-22,2026-02-13,Closed
CSE111495EC13,CUST100090818,Warranty Claim,Eric Lee,2026-02-04,,Open
CSE8AFDBD84D4,CUST100031001,Retention Save,Michael Montgomery,2026-06-26,2026-07-19,Closed
CSECAB9A9E457,CUST100003983,Warranty Claim,Madeline Cantu,2026-02-09,2026-02-24,Open
CSE68A1F046A6,CUST100071668,Warranty Claim,Julie Osborn,2026-06-09,2026-07-16,Open
CSE778C8B3995,CUST100067423,Fraud Investigation,Lindsay Smith,2026-05-06,,Open
CSECFCFFEB84A,CUST100064445,Escalated Complaint,George Le,2026-07-23,,Closed
CSE0E8F5EA3C6,CUST100063417,Warranty Claim,Daniel Goodman,2026-05-09,2026-06-03,Open
CSE66D3E6B91F,CUST100088015,Retention Save,Gina Gonzales,2026-04-16,2026-05-13,Closed
CSE96A553BDFA,CUST100048488,Escalated Complaint,Amy Mccarty,2026-01-06,,Closed
CSEECC70FAA3E,CUST100016219,Retention Save,Zachary Simpson,2026-04-08,2026-05-20,Closed
CSE182A7F51AC,CUST100091770,Retention Save,Patrick Williams,2026-05-09,2026-05-10,Closed
CSECF5B0405C6,CUST100082693,Escalated Complaint,Lisa Santana,2026-06-11,,Closed
CSE710CB3121F,CUST100093806,Fraud Investigation,Tom Anderson,2026-05-28,2026-06-10,Closed
CSEBDADC929FC,CUST100072512,Retention Save,Elizabeth Ellis,2026-05-25,,Open
CSE32AD2CECBB,CUST100083901,Retention Save,Jose Wright,2026-06-11,2026-07-06,Closed
CSECD06538081,CUST100065592,Escalated Complaint,Casey Jones,2026-07-11,2026-08-06,Closed
CSED0B54E5B34,CUST100017694,Escalated Complaint,Marissa Elliott,2026-06-15,,Closed
CSE5DEB5F1D15,CUST100067120,Contract Dispute,Billy Greene,2026-01-22,2026-02-20,Closed
CSE6E7D27CF67,CUST100038453,Warranty Claim,Alyssa Larson,2026-04-09,2026-05-04,Closed
CSE29B3E98D67,CUST100095910,Retention Save,Amber Williams,2026-06-20,2026-07-27,Open
CSEF6B4563481,CUST100047321,Retention Save,Dr. Gary Graham,2026-07-18,,Closed
CSE8F4CFF4419,CUST100054248,Warranty Claim,Monica Wagner,2026-02-20,,Closed
CSE2B1D6F2362,CUST100038117,Warranty Claim,Jon Park,2026-01-17,,Closed
CSEDBBB171790,CUST100001004,Retention Save,Robert Schwartz,2026-01-08,2026-02-20,Closed
CSE9D6D67E469,CUST100041925,Warranty Claim,Scott Harvey,2026-03-18,2026-03-30,Open
CSEBDE57196CE,CUST100034263,Contract Dispute,Terry Rodriguez,2026-02-09,,Closed
CSE36B09B6F23,CUST100073351,Retention Save,Gregg Cain,2026-02-03,2026-02-28,Closed
CSE977A5CC461,CUST100076231,Contract Dispute,Lisa Bryant,2026-03-05,2026-04-07,Closed
CSE8E78C6360E,CUST100039918,Escalated Complaint,Marcus Rubio,2026-03-09,2026-03-26,Closed
CSE6AB93F075A,CUST100046328,Escalated Complaint,Jason Porter,2026-07-15,2026-07-28,Open
CSE26C5BCDCD7,CUST100053843,Fraud Investigation,Mark Morrison,2026-07-10,2026-08-16,Open
CSEBECEA6E402,CUST100009470,Retention Save,Tyler Nguyen,2026-01-09,2026-01-15,Pending Customer Response
CSEFDCFA487A1,CUST100044611,Contract Dispute,Sarah Rivers,2026-06-10,,Closed
CSE5E910EFA58,CUST100009112,Fraud Investigation,Ruben Herring,2026-02-19,2026-03-22,Closed
CSE07F8C11C17,CUST100077657,Warranty Claim,Ashley Salazar,2026-02-20,2026-03-16,Closed
CSE9181583307,CUST100093777,Retention Save,Maria Palmer,2026-05-20,,Closed
CSE80877308B7,CUST100018525,Warranty Claim,Anna Jennings,2026-03-25,2026-04-06,Open
CSE83B2B5F864,CUST100045766,Retention Save,Brent Smith,2026-02-26,2026-03-26,Closed
CSEB85A3F58F8,CUST100043005,Contract Dispute,Wanda Martin,2026-04-28,2026-05-10,Open
CSE2987242DE0,CUST100004737,Fraud Investigation,Matthew Williams,2026-06-04,2026-06-17,Closed
CSE83FB9E7167,CUST100077757,Contract Dispute,Sarah Scott PhD,2026-05-03,2026-05-31,Closed
CSE96959DD69F,CUST100003981,Escalated Complaint,Lindsey Mitchell,2026-03-22,2026-04-11,Closed
CSE5D68D3AD60,CUST100056587,Fraud Investigation,Kevin Morrison,2026-05-27,,Closed
CSE5E13FEC900,CUST100042525,Contract Dispute,John Mckay,2026-02-08,2026-03-06,Open
CSE333857F977,CUST100008775,Fraud Investigation,Charles Barker,2026-01-08,,Closed
CSEB449694322,CUST100040004,Contract Dispute,Sierra Hernandez,2026-03-30,2026-04-17,Pending Customer Response
CSEA0B83B892D,CUST100006208,Contract Dispute,Maria Marshall,2026-03-05,2026-04-03,Closed
CSEB28D23BF8E,CUST100055909,Contract Dispute,Jacob Bennett,2026-06-20,,Closed
CSE856DA90C6A,CUST100015512,Retention Save,Erica Pennington,2026-01-17,2026-02-27,Closed
CSE775DE9EE93,CUST100025277,Escalated Complaint,Tommy Vargas,2026-04-29,2026-05-21,Pending Customer Response
CSE08D85366DE,CUST100043419,Fraud Investigation,Kimberly Taylor,2026-06-07,2026-06-20,Closed
CSEE167BF3768,CUST100096410,Retention Save,Sean Rose,2026-05-18,2026-06-14,Closed
CSE36ED245DFB,CUST100057713,Contract Dispute,Melanie Doyle,2026-07-07,2026-08-04,Closed
CSEE64C2216D0,CUST100061656,Retention Save,Danielle Maynard,2026-03-16,2026-04-10,Closed
CSEA674FBD3A3,CUST100024887,Warranty Claim,Ronald Francis,2026-03-04,2026-04-15,Pending Customer Response
CSE89E9A3FF77,CUST100092433,Escalated Complaint,Anna Ellis,2026-03-28,,Closed
CSE421F32E49C,CUST100095181,Warranty Claim,Monique Powell,2026-06-27,2026-07-02,Closed
CSE432CF5A645,CUST100045008,Fraud Investigation,Peter Allen,2026-05-28,2026-06-28,Closed
CSE3E066BF9E2,CUST100054122,Escalated Complaint,Ian Olsen,2026-01-12,2026-02-14,Closed
CSE95F297DBC6,CUST100035078,Retention Save,Jeffrey Flores,2026-01-01,2026-02-04,Open
CSE3CAD636563,CUST100075221,Contract Dispute,Alexis Ramsey,2026-02-27,2026-03-01,Closed
CSE9BE7D721E8,CUST100093846,Fraud Investigation,Walter Hoffman,2026-01-03,,Closed
CSE973BFB1A2E,CUST100010844,Fraud Investigation,Holly Martinez,2026-01-30,2026-03-08,Closed
CSE3C695E4111,CUST100054041,Warranty Claim,Melissa Bryan,2026-03-02,,Closed
CSE5EA0D2872F,CUST100077391,Retention Save,Katie Trujillo,2026-02-25,,Closed
CSE84AA47FDC6,CUST100075923,Retention Save,Kristopher Conrad,2026-01-27,2026-02-21,Closed
CSE4C2FEE9000,CUST100043425,Retention Save,Jerry Garcia,2026-07-05,2026-08-04,Open
CSEA88D657CB2,CUST100099735,Warranty Claim,Jeanette Allen,2026-03-17,,Closed
CSE44E702E705,CUST100038387,Contract Dispute,Michael Butler,2026-02-20,2026-03-25,Closed
CSECCF1EBCBC3,CUST100077835,Retention Save,Kevin Wallace,2026-06-13,2026-07-23,Open
CSE412979F58C,CUST100060906,Warranty Claim,Gina Roberts,2026-04-08,2026-05-20,Closed
CSE65E2553A66,CUST100003918,Fraud Investigation,William Jones,2026-01-03,2026-01-15,Closed
CSEB291C8833B,CUST100047715,Contract Dispute,Jessica Le,2026-04-29,2026-05-10,Closed
CSEF8E148C951,CUST100083561,Fraud Investigation,Mr. Raymond Pineda DVM,2026-06-30,2026-07-04,Closed
CSE5D452E1DF3,CUST100059628,Warranty Claim,Joanne Valdez,2026-05-31,2026-07-02,Closed
CSE985E7DA9E5,CUST100025514,Warranty Claim,Michael Douglas,2026-07-03,,Closed
CSE1B507080D7,CUST100052605,Fraud Investigation,Aaron Francis,2026-02-05,,Closed
CSE56582386EA,CUST100060181,Warranty Claim,Christian White,2026-05-21,,Closed
CSE951AB98DEA,CUST100005869,Fraud Investigation,Anna Yu,2026-07-01,2026-07-19,Closed
CSE0CD10B7EFE,CUST100010155,Escalated Complaint,Catherine Harding,2026-02-06,2026-03-06,Open
CSE06E0401747,CUST100009634,Contract Dispute,Shane Carpenter,2026-04-27,2026-05-22,Closed
CSE3FE1155053,CUST100089443,Fraud Investigation,Elizabeth Cole,2026-02-23,2026-04-03,Closed
CSE48D62E9ACF,CUST100069164,Contract Dispute,Julia Anderson,2026-04-24,2026-04-26,Closed
CSE66E6764A5F,CUST100087415,Contract Dispute,Eric Smith,2026-01-18,2026-01-29,Closed
CSE8F217F6B8D,CUST100026610,Escalated Complaint,Rachel Skinner,2026-06-21,,Closed
